,train,val,test
0,blgm6152x,blgm6235,blgm6153
1,blgm6305,blgm6232,blgm6307
2,blgm6251,blgm6027,blgm6180
3,blgm6116,BLGM3095,BLGM3131
4,blgm6208,BLGM3040,BLGM3048
5,blgm6123,BGLM3109,BLGM3074
6,blgm6176,BLGM-4110-1,BLGM3158
7,blgm6177,blgm4050xx,BLGM3016
8,blgm6288,BLGM4141,BLGM3003
9,blgm6125,BLGM-4179,BGLM3111
10,blgm6204,BLGM-4196,BLGM4017
11,blgm6179,BLGM-4207,blgm4028xx
12,blgm6122,BLGM5011,blgm4033xx
13,blgm6315,BLGM1428,BLGM-4122
14,blgm6207,BLGM-1798,BLGM-4163
15,blgm6114,BLGM1467,BLGM-4171
16,blgm6237,BLGM1043,BLGM04217
17,BLGM6111,BLGM1352,BLGM-4223-1
18,blgm6310,BLGM-2149,BLGM-4225
19,blgm6316,BLGM2185,BLGM4244
20,blgm6361,BLGM1449,BLGM5030
21,BLGM3119,BLGM1650,BLGM1679
22,BLGM3124,BLGM1480,BLGM1022
23,BLGM3125,blgm2197,BLGM2159
24,BLGM3134,BLGM1389,BLGM1366
25,BLGM3138,BLGM1562,BLGM1731
26,BLGM3142,BLGM1098,BLGM2174
27,BLGM3058,BLGM1477,BLGM-1778A
28,BLGM3060,BGLM1018,BLGM1577
29,BLGM3061,BLGM1434,BLGM1383
30,BLGM3045,BLGM1442,BLGM1725
31,BLGM3046,BLGM1630,BLGM2199
32,BLGM3047,BLGM1674,BLGM1086
33,BLGM3049,BLGM1329,BLGM1096
34,BLGM3063,BLGM1702,BLGM1306
35,BLGM3148,BLGM1385,BLGM1411
36,BLGM3051,BLGM1126,BLGM2018
37,BLGM3064,BLGM1661A,BLGM1672
38,BLGM3052,BLGM-1613,BLGM1302
39,BLGM3065,BLGM-1870,BLGM2250
40,BLGM3113,BLGM1593,BLGM1424
41,BGLM3114,BLGM2258,BLGM1566
42,BLGM3054,BLGM1514,BLGM2535
43,BLGM3056,BLGM-2265,BLGM-1779
44,BLGM3067,BLGM2536,BLGM1518
45,BLGM3069,BLGM1556,BLGM2279
46,BLGM3008,BLGM1169,BLGM1537
47,BLGM3070,BLGM1171,BLGM2286
48,BLGM3013,BLGM2313,BLGM1710
49,BLGM3076,BLGM1519,blgm2297
50,BLGM3170,BLGM1445,BLGM2300
51,BLGM3010,BLGM1188,BLGM1513
52,BLGM3015,BLGM1286,BLGM1481
53,BLGM3080,BLGM2341A,BLGM1714
54,BLGM3167,BLGM1684,BLGM1176
55,BGLM3116,BLGM-1813A,BLGM1384
56,BLGM3018,BLGM2030A,BLGM1406
57,BLGM3081,BLGM1304a,BLGM1525
58,BLGM3082,BLGM1606,BLGM1305
59,BLGM3019,BLGM2367,BLGM1521
60,BLGM3084,blgm2383,BLGM1705
61,BLGM3020,BLGM-2392,BLGM1324
62,BLGM3085,BGLM1014,BLGM-1954
63,BLGM3022,BLGM1246,BLGM1231
64,BLGM3087,BLGM1473,BLGM2363
65,BLGM3025,BLGM1373,BLGM1233
66,BLGM3090,BLGM1237,BLGM1343
67,BLGM3091,blgm2414,BLGM-1935
68,BLGM3092,BLGM1421,BLGM1600
69,BLGM3005,BLGM1258,BLGM2374
70,BLGM3006,BLGM1598,BLGM2375
71,BLGM3028,BLGM-2090,BLGM2382
72,BLGM3096,BLGM1436,BLGM2402
73,BLGM3097,BLGM141 ,BGLM1016
74,BLGM3032,BLGM160 ,BLGM-2405
75,BLGM3172,BLGM203 ,BLGM1706
76,BLGM3033,BLGM225 ,BLGM1331
77,BGLM3115,BLGM48 ,BLGM1652
78,BLGM3034,BLGM111 ,BLGM1299
79,BLGM3035,BLGM276 ,BLGM1269
80,BLGM3099,BLGM92 ,BLGM1271
81,BGLM3101,BLGM218 ,BLGM1550
82,BLGM3104,BLGM122 ,BLGM128 
83,BGLM3105,BLGM143 ,BLGM212 
84,BGLM3107,BLGM116 ,BLGM308 
85,BLGM3044,BLGM51 ,BLGM154 
86,BLGM4001,BLGM280 ,BLGM18
87,BLGM4003,BLGM198 ,BLGM149 
88,BLGM4005,BLGM84 ,BLGM148 
89,BLGM4007,BLGM58 ,BLGM174 
90,BLGM4010,BLGM175 ,BLGM250 
91,BLGM4011,BLGM251B,BLGM252 
92,BLGM4012,BLGM86 ,BLGM269 
93,BLGM4013,BLGM265 ,BLGM150 
94,BLGM4014,BLGM263 ,BLGM194 
95,BLGM4015,BLGM242 ,BLGM189 
96,BLGM4016,BLGM278 ,BLGM284 
97,BLGM4018,BLGM139 ,blgm6056
98,BLGM4021,blgm6170,BLGM6059
99,BLGM4022,blgm6157x,blgm6132
100,BLGM4023,blgm6188,blgm6326
101,blgm4025xx,blgm6189,blgm6220
102,blgm4027xx,blgm6190,blgm6383
103,blgm4029xx,blgm6203,blgm6135
104,blgm4030xx,blgm6382,blgm6346
105,blgm4032xx,blgm6328b,blgm6350
106,blgm4034xx,blgm6301,blgm6285
107,BLGM-4111,blgm6352,blgm6455
108,blgm4037xx,blgm6253,blgm6381
109,blgm4038xx,,
110,blgm4039xx,,
111,BLGM-4113,,
112,BLGM-4114,,
113,blgm4040xx,,
114,blgm4041xx,,
115,blgm4045xx,,
116,blgm4048xx,,
117,blgm4049xx,,
118,blgm4051xx,,
119,blgm4052xx,,
120,blgm4053xx,,
121,blgm4054xx,,
122,BLGM4116-1a,,
123,blgm4057xx,,
124,blgm4058xx,,
125,BLGM-4123,,
126,blgm4061xx,,
127,BLGM-4127,,
128,BLGM4130,,
129,BLGM-4131,,
130,BLGM4136,,
131,BLGM-4137,,
132,BLGM4140-1,,
133,BLGM-4143,,
134,BLGM4146,,
135,BLGM-4149,,
136,BLGM-4161,,
137,BLGM-4162,,
138,BLGM4164-3,,
139,BLGM4173-1,,
140,blgm4063XX,,
141,BLGM-4184,,
142,blgm4064XX,,
143,BLGM-4189,,
144,BLGM-4191,,
145,BLGM-4193,,
146,BLGM-4198,,
147,BLGM-4203-2,,
148,BLGM-4204,,
149,BLGM-4206,,
150,BLGM-4209,,
151,BLGM4215,,
152,BLGM-4218,,
153,BLGM4219-3,,
154,BLGM4224-2,,
155,blgm4066xx,,
156,BLGM5001,,
157,BLGM5077-3,,
158,BLGM5004,,
159,BLGM5007,,
