,train,val,test
0,blgm6152x,blgm6208,blgm6305
1,blgm6153,blgm6235,blgm6251
2,blgm6116,blgm6204,blgm6307
3,blgm6123,blgm6232,blgm6316
4,blgm6176,blgm6310,BLGM3124
5,blgm6177,BLGM3046,BLGM3063
6,blgm6288,BLGM3070,BLGM3052
7,blgm6125,BLGM3074,BLGM3170
8,blgm6179,BLGM3028,BLGM3025
9,blgm6122,BLGM3032,BLGM3095
10,blgm6027,BLGM3104,BGLM3109
11,blgm6315,BGLM3105,blgm4050xx
12,blgm6207,BGLM3107,BLGM-4137
13,blgm6180,BGLM3111,BLGM-4149
14,blgm6114,BLGM4001,BLGM-4179
15,blgm6237,BLGM4013,BLGM-4206
16,BLGM6111,blgm4030xx,BLGM-4209
17,blgm6361,BLGM-4113,BLGM-4223-1
18,BLGM3119,blgm4048xx,blgm4066xx
19,BLGM3125,BLGM-4163,BLGM5018-2
20,BLGM3131,BLGM4164-3,BLGM5027-9
21,BLGM3134,BLGM-4207,BLGM5058
22,BLGM3138,BLGM04217,BLGM-1866A
23,BLGM3142,BLGM4219-3,BLGM-1865B
24,BLGM3058,BLGM5004,BLGM1535
25,BLGM3060,BLGM5021,BLGM1048
26,BLGM3061,BLGM5034,BLGM-1582
27,BLGM3045,BLGM5069-1,BLGM1605
28,BLGM3047,BLGM5091,blgm2197
29,BLGM3048,BLGM1029,BLGM2199
30,BLGM3049,BLGM1030,BLGM-2085
31,BLGM3148,BLGM1438,BLGM-1756
32,BLGM3051,BLGM-1883A,blgm2220
33,BLGM3064,BLGM2513,BLGM1111
34,BLGM3065,BLGM1703,BLGM1302
35,BLGM3113,BLGM-2170,blgm2230
36,BGLM3114,BLGM1462,BLGM1702
37,BLGM3054,BLGM1058,BLGM-1939
38,BLGM3056,BLGM-1778A,BLGM-1758
39,BLGM3067,BLGM1425,BLGM1122
40,BLGM3069,BLGM1474,BLGM2250
41,BLGM3008,BLGM1085,BLGM1131
42,BLGM3158,BLGM1086,BGLM1011
43,BLGM3013,BLGM1094,BLGM1494
44,BLGM3076,BLGM1477,BLGM-1823
45,BLGM3010,BLGM1475,BLGM1514
46,BLGM3015,blgm2232,BLGM2535
47,BLGM3016,BLGM1450,BLGM1353
48,BLGM3080,BLGM1385,BLGM1696
49,BLGM3167,BLGM-2243 (2),BLGM2536
50,BGLM3116,BLGM1472,BLGM2295
51,BLGM3018,BLGM1424,BLGM-2005
52,BLGM3081,BLGM-2253,BLGM1171
53,BLGM3082,BLGM1140,BLGM2028
54,BLGM3019,BLGM-1497,BLGM1519
55,BLGM3084,BLGM1313,BLGM2542
