,train,val,test
0,blgm6314,blgm6152x,blgm6175
1,blgm6032,blgm6234,blgm6215
2,blgm6174,blgm6305,blgm6213
3,blgm6233,blgm6124,blgm6031
4,blgm6028,blgm6251,blgm6112
5,blgm6033,blgm6034,blgm6027
6,blgm6241,blgm6217,blgm6363
7,blgm6153,blgm6307,blgm6236
8,blgm6216,blgm6113,blgm6114
9,BLGM6109,blgm6376,BLGM3047
10,blgm6116,BLGM3134,BLGM3049
11,blgm6208,BLGM3051,BLGM3065
12,blgm6298,BLGM3010,BLGM3055
13,blgm6123,BLGM3018,BLGM3158
14,blgm6176,BLGM3083,BLGM3015
15,blgm6290,BLGM3084,BLGM3080
16,blgm6240,BLGM3022,BLGM3020
17,blgm6029,BLGM3003,BLGM3096
18,blgm6244,BLGM3006,BLGM3034
19,blgm6177,BLGM3172,BLGM3099
20,blgm6043d,BLGM3035,BLGM3039
21,blgm6288,BLGM3040,BLGM3041
22,blgm6245,BGLM3109,BLGM3044
23,blgm6106,BLGM4106-2,BLGM4011
24,blgm6024,BLGM4017,blgm4032xx
25,blgm6358,BLGM4020,BLGM-4113
26,blgm6039c,blgm4024xx,BLGM4140-1
27,blgm6178,blgm4050xx,BLGM-4149
28,blgm6125,blgm4053xx,BLGM4153
29,blgm6235,BLGM4124-4,BLGM4169
30,blgm6042b,BLGM4130,BLGM-4171
31,blgm6204,BLGM-4143,BLGM4246
32,blgm6232,BLGM-4163,BLGM5004
33,blgm6179,BLGM-4193,BLGM5005-2
34,blgm6309,BLGM-4207,BLGM5030
35,blgm6107,BLGM-4218,BLGM5049-2
36,blgm6238,BLGM4244,BLGM5091
37,blgm6374,BLGM5024,blgm2155
38,blgm6122,BLGM5089,BLGM1711
39,blgm6315,BLGM5042,BLGM1027
40,blgm6207,BLGM1281,BLGM1033
41,blgm6289,BLGM-1798,BLGM2161
42,blgm6110,BLGM1346,BLGM1486
43,blgm6362,BLGM1673,BLGM1366
44,blgm6231,BLGM2167,blgm2172x
45,blgm6180,BLGM1056,BLGM1462
46,blgm6242,BLGM1058,BLGM2174
47,blgm6246,BLGM1425,BLGM1451
48,blgm6045b,BLGM1449,BLGM1563
49,blgm6237,BLGM1650,BLGM1498
50,BLGM6111,BLGM1599,BLGM1071
51,blgm6310,BLGM1474,BLGM1368
52,blgm6316,BLGM1740,BLGM-1988
53,blgm6361,BLGM-2108,BLGM-2512
54,blgm6375,blgm2205,BLGM1402
55,BLGM3119,BLGM1434,BLGM1708
56,BLGM3123,BLGM1105,BLGM-2099
57,BLGM3124,blgm2215,BLGM1725
58,BLGM3125,BLGM1107,BLGM-2120
59,BLGM3131,BLGM1312A,BLGM-1850
60,BLGM3138,BLGM1442,BLGM1477
61,BLGM3142,BLGM1108,BLGM1411
62,BLGM3058,blgm2220,BLGM-1969
63,BLGM3060,BLGM2223,BLGM1465
64,BLGM3061,BLGM-1858A,BLGM-1756
65,BLGM3045,blgm2226,BLGM1742
66,BLGM3062,BLGM2524,BLGM1307
67,BLGM3046,BLGM1680,BLGM1367
68,BLGM3048,BLGM-1040,BLGM1277
69,BLGM3063,BGLM1009,BLGM1121
70,BLGM3148,BLGM1661A,BLGM2246
71,BLGM3064,blgm2254,BLGM-2073
