,train,val,test
0,blgm6152x,blgm6175,blgm6314
1,blgm6032,blgm6123,blgm6153
2,blgm6174,blgm6031,blgm6298
3,blgm6233,blgm6374,blgm6029
4,blgm6234,blgm6180,blgm6244
5,blgm6028,BLGM3123,blgm6288
6,blgm6305,BLGM3058,blgm6245
7,blgm6124,BLGM3061,blgm6024
8,blgm6033,BLGM3095,blgm6315
9,blgm6215,BLGM3031,blgm6207
10,blgm6241,BGLM3101,blgm6113
11,blgm6216,BGLM3107,blgm6231
12,BLGM6109,BLGM3042,blgm6361
13,blgm6251,BGLM3108,BLGM3047
14,blgm6116,BLGM4106-2,BLGM3113
15,blgm6208,BLGM4014,BLGM3067
16,blgm6034,BLGM4017,BLGM3033
17,blgm6176,blgm4024xx,BLGM4007
18,blgm6290,blgm4033xx,BLGM4013
19,blgm6213,BLGM-4113,BLGM4021
20,blgm6217,blgm4045xx,blgm4034xx
21,blgm6240,BLGM-4133,BLGM-4114
22,blgm6177,BLGM-4196,blgm4041xx
23,blgm6307,BLGM-4203-2,blgm4050xx
24,blgm6043d,BLGM-4218,blgm4054xx
25,blgm6106,BLGM-4223-1,BLGM-4123
26,blgm6358,BLGM-4225,BLGM-4127
27,blgm6039c,BLGM5005-2,BLGM-4131
28,blgm6178,BLGM5013-14,BLGM-4162
29,blgm6112,BLGM5018-2,BLGM-4170
30,blgm6125,BLGM5056-001,BLGM4173-1
31,blgm6235,BLGM5069-1,BLGM4224-2
32,blgm6042b,BLGM2541,BLGM4244
33,blgm6204,BLGM2161,BLGM5019
34,blgm6232,BLGM1673,BLGM1022
35,blgm6179,BLGM1703,BLGM1051
36,blgm6309,BLGM1427,BLGM2174
37,blgm6107,BLGM2176,BLGM-2149
38,blgm6238,BLGM-1582,BLGM-2508
39,blgm6122,BLGM1527,BLGM2048
40,blgm6027,BLGM1563,BLGM1077
41,blgm6289,BLGM1498,BLGM1641
42,blgm6110,BLGM1693,BLGM1741
43,blgm6363,BLGM1078,BGLM1006
44,blgm6362,BLGM1520,BLGM2124
45,blgm6242,BLGM1461,BLGM1333
46,blgm6236,BLGM1478,BLGM1089
47,blgm6246,BLGM1742,BLGM-1862
48,blgm6376,BLGM-1858A,BLGM1739
49,blgm6045b,BLGM1367,BLGM1562
50,blgm6114,BLGM1630,BLGM1098
51,blgm6237,BLGM1285,BLGM1645
52,BLGM6111,BLGM2013,BLGM-2519
53,blgm6310,BLGM1450,BLGM-2520A
54,blgm6316,BLGM1277,BLGM1633
55,blgm6375,BLGM1329,BLGM1361
56,BLGM3119,BGLM1009,BLGM1306
57,BLGM3124,BLGM-2527,BGLM1020
58,BLGM3125,BLGM-1758,blgm2215
59,BLGM3131,BLGM1444,BLGM1107
60,BLGM3134,BLGM1661A,BLGM1312A
61,BLGM3138,blgm2252,BLGM2233
62,BLGM3142,BLGM-1482,BLGM1117
63,BLGM3060,BLGM-2253,blgm2238
64,BLGM3045,BLGM1131,BLGM1297
65,BLGM3062,BLGM1547,BLGM1010
66,BLGM3046,BLGM1657,BLGM-1908A
67,BLGM3048,BLGM2263,BLGM2529
68,BLGM3049,BLGM-2265,BLGM1628
69,BLGM3063,BLGM-1820A,BLGM-2125
70,BLGM3148,BLGM1518,BLGM1133
71,BLGM3051,BLGM1594,BLGM1593
72,BLGM3064,BLGM-1991A,BLGM1685
73,BLGM3052,BLGM1156,BLGM2258
74,BLGM3065,BLGM2289,BLGM2535
75,BGLM3114,blgm2290,BLGM1517
76,BLGM3054,BLGM2539,BLGM1507
77,BLGM3055,BLGM-1916,BLGM1629
78,BLGM3056,BLGM1165,BLGM2283mark
79,BLGM3068,BLGM1549,BLGM-2112
80,BLGM3156,BLGM1627,BLGM2286
81,BLGM3069,BLGM1399,BLGM2287
82,BLGM3008,BLGM1339,BLGM2536
83,BLGM3009,BLGM-1734,BLGM1452
84,BLGM3070,BLGM1445,BLGM1160
85,BLGM3072,BLGM-2544,BLGM1167
86,BLGM3074,BLGM1185,BLGM2012
87,BLGM3158,BLGM2317mark,BLGM1626
88,BLGM3013,BLGM2329,BLGM-1533A
89,BLGM3076,BLGM1195,BLGM1174
90,BLGM3078,BLGM1395,BLGM2025
91,BLGM3170,BLGM-1814,BLGM1176
92,BLGM3010,BLGM1348,BLGM2313
93,BLGM3015,BLGM1308,BLGM1729
