,train,val,test
0,blgm6152x,blgm6358,blgm6314
1,blgm6032,blgm6232,blgm6233
2,blgm6174,blgm6179,blgm6215
3,blgm6234,blgm6237,blgm6216
4,blgm6028,blgm6375,blgm6043d
5,blgm6305,BLGM3060,blgm6362
6,blgm6124,BLGM3052,BLGM3125
7,blgm6033,BLGM3067,BLGM3058
8,blgm6175,BLGM3008,BLGM3064
9,blgm6241,BLGM3074,BLGM3069
10,blgm6153,BLGM3013,BLGM3076
11,BLGM6109,BLGM3167,BLGM3029
12,blgm6251,BLGM3019,BLGM3172
13,blgm6116,BLGM3083,BLGM3033
14,blgm6208,BLGM3020,BLGM3039
15,blgm6034,BLGM3087,BLGM3042
16,blgm6298,BLGM3025,BLGM4105
17,blgm6123,BLGM3005,BLGM4007
18,blgm6176,BGLM3108,BLGM4013
19,blgm6290,BGLM3111,BLGM4020
20,blgm6213,BLGM4015,BLGM-4114
21,blgm6217,blgm4025xx,BLGM-4123
22,blgm6240,blgm4033xx,BLGM4136
23,blgm6029,BLGM-4113,BLGM-4148
24,blgm6244,BLGM4124-4,BLGM-4161
25,blgm6177,BLGM-4131,BLGM-4178
26,blgm6307,BLGM4141,BLGM4188
27,blgm6031,BLGM-4196,BLGM-4190
28,blgm6288,BLGM4224-2,BLGM4194-2
29,blgm6245,BLGM-4232,BLGM04217
30,blgm6106,BLGM5008-2,BLGM-4227-1
31,blgm6024,BLGM5020,BLGM5001
32,blgm6039c,BLGM5032,BLGM5013-14
33,blgm6178,BLGM5044-3,BLGM5021
34,blgm6112,BLGM5056-001,BLGM5059-2
35,blgm6125,BLGM5060-2,BLGM5069-1
36,blgm6235,BLGM5063,BLGM1723
37,blgm6042b,BLGM1470,BLGM1615
38,blgm6204,BLGM1346,BLGM2541
39,blgm6309,BLGM1030,BLGM1027
40,blgm6107,BLGM1673,BLGM1691
41,blgm6238,BLGM-1990,BLGM2159
42,blgm6374,BLGM1462,BLGM1713
43,blgm6122,BLGM-2505,BLGM2169
44,blgm6027,BLGM1563,BLGM-2134
45,blgm6315,BLGM-1790,BLGM1417
46,blgm6207,BLGM-1885A,BLGM1071
47,blgm6289,BLGM1077,BLGM2187B
48,blgm6110,BLGM1543,BLGM1693
49,blgm6113,BLGM1641,BLGM1676
50,blgm6363,BLGM2194,BLGM1715
51,blgm6231,BLGM1078,BLGM1092
