,train,val,test
0,blgm6152x,blgm6153,blgm6251
1,blgm6305,blgm6232,blgm6177
2,blgm6116,blgm6315,blgm6207
3,blgm6208,BLGM3142,BLGM3019
4,blgm6123,BLGM3069,BLGM3025
5,blgm6176,BLGM3081,BLGM3006
6,blgm6307,BLGM3091,BLGM3028
7,blgm6288,BLGM3003,BLGM3097
8,blgm6125,BLGM3095,BGLM3111
9,blgm6235,blgm4030xx,BLGM4013
10,blgm6204,blgm4033xx,BLGM-4114
11,blgm6179,blgm4052xx,BLGM4116-1a
12,blgm6122,blgm4061xx,BLGM4136
13,blgm6027,BLGM4146,BLGM-4137
14,blgm6180,BLGM-4198,BLGM-4162
15,blgm6114,BLGM-4206,BLGM4164-3
16,blgm6237,BLGM5001,BLGM-4223-1
17,BLGM6111,BLGM5013-14,BLGM5021
18,blgm6310,BLGM5018-2,BLGM5050
19,blgm6316,BLGM5028-2,BLGM-1866A
20,blgm6361,BLGM5042,BLGM1467
21,BLGM3119,BLGM1720A,BLGM1029
22,BLGM3124,BLGM-1897,BLGM1033
23,BLGM3125,BLGM2159,BLGM2513
24,BLGM3131,BLGM-1865B,BLGM1567
25,BLGM3134,BLGM2167,BLGM1051
26,BLGM3138,BLGM1731,BLGM2176
27,BLGM3058,BLGM-1790,BLGM-2178
28,BLGM3060,BLGM2182,BLGM1068
29,BLGM3061,BLGM2185,BLGM2191
30,BLGM3045,BLGM1425,BLGM1077
31,BLGM3046,BLGM1741,BLGM1641
32,BLGM3047,BLGM2196,BLGM2193
33,BLGM3048,BLGM1374,BLGM1383
34,BLGM3049,BLGM1094,blgm2197
35,BLGM3063,BLGM2224,BLGM1676
36,BLGM3148,BLGM1096,BLGM1279
37,BLGM3051,BLGM1477,BLGM-2085
38,BLGM3064,BLGM1306,BLGM1105
39,BLGM3052,BLGM1329,BLGM2223
40,BLGM3065,BLGM-2501,BLGM1630
41,BLGM3113,BLGM-1040,BLGM1523
42,BGLM3114,BGLM1009,BLGM2235
43,BLGM3054,BLGM1661A,BLGM1277
44,BLGM3056,BLGM2529,BLGM-1758
45,BLGM3067,BLGM-2253,BLGM1126
46,BLGM3008,BLGM-2066,BLGM2250
47,BLGM3070,BLGM-1870,BLGM-1857
48,BLGM3074,BLGM2258,BLGM1709
49,BLGM3158,BLGM1135,BLGM-2073
50,BLGM3013,BLGM1494,BLGM1566
51,BLGM3076,BLGM-1900,BLGM1476
52,BLGM3170,BLGM1611,BLGM1507
53,BLGM3010,BLGM1518,BLGM1629
54,BLGM3015,BLGM1162,BLGM1537
55,BLGM3016,BLGM2299,BLGM-1991A
56,BLGM3080,BLGM2300,BLGM1159
57,BLGM3167,BLGM1169,BLGM1549
58,BGLM3116,BLGM-1817,BLGM2025
59,BLGM3018,BLGM2028,BLGM1587
60,BLGM3082,BLGM2313,BLGM1502
61,BLGM3084,BLGM1519,BLGM-1192B
