,train,val,test
0,blgm6314,blgm6032,blgm6033
1,blgm6152x,blgm6241,blgm6245
2,blgm6174,blgm6298,blgm6042b
3,blgm6233,blgm6217,blgm6232
4,blgm6234,blgm6043d,blgm6231
5,blgm6028,blgm6106,BLGM3156
6,blgm6305,blgm6315,BLGM3158
7,blgm6124,blgm6113,BLGM3013
8,blgm6175,blgm6362,BLGM3022
9,blgm6215,blgm6375,BLGM3091
10,blgm6153,BLGM3046,BLGM3029
11,blgm6216,BLGM3052,BLGM4009
12,BLGM6109,BLGM3113,BLGM4011
13,blgm6251,BLGM3069,blgm4024xx
14,blgm6116,BLGM3019,blgm4040xx
15,blgm6208,BLGM3085,blgm4041xx
16,blgm6034,BLGM3003,blgm4042xx
17,blgm6123,BLGM3096,BLGM-4122
18,blgm6176,BLGM3033,BLGM-4127
19,blgm6290,BLGM3099,BLGM4140-1
20,blgm6213,BLGM3039,BLGM-4168
21,blgm6240,BLGM4010,blgm4063XX
22,blgm6029,blgm4032xx,BLGM4194-2
23,blgm6244,blgm4033xx,BLGM-4223-1
24,blgm6177,BLGM4124-4,BLGM5001
25,blgm6307,BLGM4130,BLGM5005-2
26,blgm6031,BLGM-4148,BLGM5020
27,blgm6288,BLGM-4171,BLGM5083
28,blgm6024,BLGM4188,BLGM5037
29,blgm6358,BLGM-4189,BLGM1280
30,blgm6039c,BLGM-4192,BLGM1673
31,blgm6178,BLGM-4198,BLGM1703
32,blgm6112,BLGM-4200,BLGM1535
33,blgm6125,BLGM-4201,BLGM1047
34,blgm6235,BLGM4219-3,BLGM1527
35,blgm6204,BLGM-4227-1,BLGM1396
36,blgm6179,BLGM5018-2,BLGM-2178
37,blgm6309,BLGM5032,BLGM-1790
38,blgm6107,BLGM5062-8,BLGM1721
39,blgm6238,BLGM5069-1,BLGM2182
40,blgm6374,BLGM1723,BLGM1650
41,blgm6122,BLGM-1866A,BLGM2044
42,blgm6027,BGLM1004,BLGM1077
43,blgm6207,BLGM1720A,BLGM1078
44,blgm6289,BLGM2159,BLGM1402
45,blgm6110,BLGM1553,BLGM1333
46,blgm6363,BLGM1427,BLGM1085
47,blgm6180,BLGM2168,BLGM1538
48,blgm6242,BLGM-1990,BLGM1554
49,blgm6236,blgm2172x,BLGM2202
50,blgm6246,BLGM1056,BLGM-2519
51,blgm6376,BLGM-2505,BLGM1307
52,blgm6045b,BLGM1417,BLGM-1751
53,blgm6114,BLGM1425,BLGM-1655A
54,blgm6237,BLGM1667,BLGM-2063
55,BLGM6111,BLGM1676,BLGM1659
56,blgm6310,BLGM-1920,blgm2230
57,blgm6316,BLGM1422,BLGM1408
58,blgm6361,BLGM1645,BGLM1007
59,BLGM3119,BLGM1477,BLGM1450
60,BLGM3123,BLGM-1770A,BLGM1329
61,BLGM3124,BLGM1442,BLGM-1955
62,BLGM3125,BLGM-1756,BLGM1385
63,BLGM3131,BLGM-1993,BLGM-1906
64,BLGM3134,blgm2219,BLGM-2527
65,BLGM3138,BLGM1367,BLGM-2248
66,BLGM3142,BLGM2229,BLGM-1908A
67,BLGM3058,BLGM1115,BLGM-2253
68,BLGM3060,BLGM-2501,BLGM1129
69,BLGM3061,BLGM1121,BLGM-2125
70,BLGM3045,BLGM-1939,BLGM1217
71,BLGM3062,BLGM-2526,BLGM1494
72,BLGM3047,BLGM1424,BLGM1651
73,BLGM3048,BLGM-1613,BLGM1566
74,BLGM3049,BLGM1131,BLGM2263
75,BLGM3063,BLGM1960,BLGM1696
76,BLGM3148,BLGM1620,BLGM1594
77,BLGM3051,BLGM1137,BLGM1710
78,BLGM3064,BLGM-2261,BLGM1159
79,BLGM3065,BLGM-1887,BLGM1483
80,BGLM3114,BLGM2266,BLGM1575
81,BLGM3054,BLGM1141,BLGM1162
82,BLGM3055,BLGM-2003,BLGM2299
83,BLGM3056,BLGM2275,BLGM1508
84,BLGM3067,BLGM-2282,BLGM-1533A
