,train,val,test
0,blgm6314,blgm6174,blgm6124
1,blgm6152x,blgm6233,blgm6215
2,blgm6032,blgm6029,blgm6298
3,blgm6234,blgm6307,blgm6176
4,blgm6028,blgm6039c,blgm6213
5,blgm6305,blgm6204,blgm6288
6,blgm6033,blgm6232,blgm6309
7,blgm6175,BLGM3084,blgm6231
8,blgm6241,BLGM3085,blgm6242
9,blgm6153,BLGM3029,blgm6316
10,blgm6216,BLGM3033,blgm6375
11,BLGM6109,BGLM3107,BLGM3131
12,blgm6251,BLGM3038,BLGM3061
13,blgm6116,BLGM4016,BLGM3148
14,blgm6208,blgm4024xx,BLGM3078
15,blgm6034,blgm4025xx,BLGM3170
16,blgm6123,blgm4027xx,BLGM3087
17,blgm6290,blgm4034xx,BLGM3092
18,blgm6217,blgm4045xx,BLGM3006
19,blgm6240,BLGM-4148,BLGM3034
20,blgm6244,BLGM-4189,BGLM3102
21,blgm6177,BLGM-4206,BGLM3112
22,blgm6043d,BLGM-4210-2,BLGM4005
23,blgm6031,BLGM4215,BLGM4011
24,blgm6245,BLGM-4218,BLGM4022
25,blgm6106,BLGM-4227-1,blgm4029xx
26,blgm6024,BLGM5031,blgm4048xx
27,blgm6358,BLGM5056-001,BLGM-4184
28,blgm6178,BLGM5091,BLGM04217
29,blgm6112,BLGM1695,BLGM5018-2
30,blgm6125,BLGM1470,BLGM5024
31,blgm6235,BLGM2159,BLGM5028-2
32,blgm6042b,BLGM2165,BLGM5089
33,blgm6179,BLGM1462,BLGM5069-1
34,blgm6107,BLGM1058,BLGM1033
35,blgm6238,BLGM1527,BLGM1720A
36,blgm6374,BLGM-1065A,BLGM-1951
37,blgm6122,BLGM-1946A,BLGM1427
38,blgm6027,BLGM-2508,BLGM-1925
39,blgm6315,BLGM1671,BLGM1731
40,blgm6207,BLGM2191,BLGM1051
41,blgm6289,BLGM1383,BLGM-1778A
42,blgm6110,BLGM1708,BLGM-1901
43,blgm6113,BLGM1559,BLGM-2178
44,blgm6363,BLGM2022,BLGM-1790
45,blgm6362,BLGM1279,BLGM-1988
46,blgm6180,BLGM2224,BLGM2193
47,blgm6236,BLGM1434,BLGM2194
48,blgm6246,BLGM1475,BLGM-2514
49,blgm6376,BLGM2213,BLGM2196
50,blgm6045b,BLGM-1969,BLGM1086
51,blgm6114,BLGM1107,BLGM1554
52,blgm6237,BLGM1108,BLGM1676
53,BLGM6111,BLGM2218,BLGM1735
54,blgm6310,blgm2220,BLGM1562
55,blgm6361,BLGM1111,BLGM2203
56,BLGM3119,BLGM1112,BLGM1382
57,BLGM3123,BLGM-2063,BLGM1727
58,BLGM3124,BLGM1117,BLGM1306
59,BLGM3125,BGLM1009,BGLM1018
60,BLGM3134,BLGM1391,BLGM1672
61,BLGM3138,BLGM2246,BLGM-1756
62,BLGM3142,BLGM1301,BLGM-1655A
63,BLGM3058,BLGM1628,blgm2232
64,BLGM3060,BLGM1620,blgm2238
65,BLGM3045,BLGM2534,BLGM1297
66,BLGM3062,BLGM1718,BLGM-1939
67,BLGM3046,BLGM-1823,BLGM-1886
68,BLGM3047,BLGM-1887,BLGM1377
69,BLGM3048,BLGM2263,BLGM-2243 (2)
70,BLGM3049,BLGM1490,BLGM1532
71,BLGM3063,BLGM1153,BLGM1010
72,BLGM3051,BLGM2286,BLGM1424
73,BLGM3064,BLGM1710,BLGM1689
74,BLGM3052,BLGM1159,BLGM1133
75,BLGM3065,BLGM-1360A,BLGM1217
76,BLGM3113,BLGM2292,BGLM1011
77,BGLM3114,blgm2297,BLGM1332
78,BLGM3054,BLGM1626,BLGM2266
79,BLGM3055,BLGM1642,BLGM1507
80,BLGM3056,BLGM1339,BLGM1151
81,BLGM3067,BLGM1180,BLGM-2282
82,BLGM3068,BLGM-2118,BLGM1452
83,BLGM3156,BLGM1429,BLGM2302
84,BLGM3069,BLGM-1860A,BLGM1508
85,BLGM3008,BLGM2317mark,BLGM1174
86,BLGM3009,BLGM1719,BLGM2028
87,BLGM3070,BLGM1443,BLGM1176
88,BLGM3072,BLGM2319,BLGM1729
89,BLGM3074,BLGM1662A,BLGM1542
90,BLGM3158,BLGM2342,BLGM-1690
91,BLGM3013,BLGM1684,BLGM1526
92,BLGM3076,BLGM2355,BLGM-2544
93,BLGM3010,BLGM1343,BLGM1376
94,BLGM3015,BLGM1654,BLGM-2136C
95,BLGM3016,BLGM2370,BLGM1395
96,BLGM3080,BLGM1340,BLGM1204
97,BLGM3167,blgm2400,BLGM2334
98,BGLM3116,BLGM-2089,BLGM1622
99,BLGM3018,BLGM1473,BLGM-2553
100,BLGM3081,BLGM1631,BLGM1603
101,BLGM3082,BLGM1496,BLGM1764B
102,BLGM3019,BLGM1253,BLGM1379
103,BLGM3083,BLGM1364,BLGM1572
104,BLGM3020,BLGM1314,BLGM2382
105,BLGM3021,BLGM-1602,blgm2383
106,BLGM3022,BLGM1668,BLGM1658
107,BLGM3025,BLGM-2090,BLGM1621
108,BLGM3088,BLGM2052,BLGM1245
109,BLGM3090,BLGM1271,BLGM1246
110,BLGM3091,BLGM1550,BLGM1660
111,BLGM3003,BLGM7,BLGM1334
112,BLGM3171,BLGM34 ,BLGM1697
113,BLGM3005,BLGM185 ,BLGM-1928
114,BLGM3028,BLGM268 ,BLGM1345
115,BLGM3095,BLGM24,BLGM-2423
116,BLGM3096,BLGM37 ,BLGM1262
117,BLGM3097,BLGM149 ,BLGM1652
118,BLGM3030,BLGM91 ,BLGM244 
119,BLGM3031,BLGM310 ,BLGM46 
120,BLGM3032,BLGM247 ,BLGM2
121,BLGM3172,BLGM113 ,BLGM289 
122,BGLM3115,BLGM250 ,BLGM18
123,BLGM3035,BLGM293 ,BLGM15
124,BLGM3099,BLGM241 ,BLGM111 
125,BGLM3101,BLGM86 ,BLGM215 
126,BLGM3104,BLGM99 ,BLGM92 
127,BGLM3105,BLGM101 ,BLGM174 
128,BLGM3039,BLGM179 ,BLGM54 
129,BLGM3040,BLGM257 ,BLGM82 
130,BLGM3041,BLGM263 ,BLGM27 
131,BLGM3042,BLGM188 ,BLGM252 
132,BGLM3108,BLGM284 ,BLGM63 
133,BLGM3044,BLGM277 ,BLGM253 
134,BGLM3109,blgm6056,BLGM258 
135,BGLM3111,blgm6020,BLGM69 
136,BLGM4001,blgm6387,BLGM318 
137,BLGM4002,blgm6394,BLGM278 
138,BLGM4103,blgm6003E,blgm6091
139,BLGM4003,blgm6092,blgm6128
140,BLGM4105,blgm6357,blgm6365
141,BLGM4006,blgm6160,blgm6170
142,BLGM4007,blgm6007,blgm6121
143,BLGM4008,blgm6392,blgm6010-2
144,BLGM4009,blgm6036,blgm6004
145,BLGM4010,blgm6287,blgm6062
146,BLGM4106-2,blgm6396,blgm6085
147,BLGM4012,blgm6064,blgm6071
148,BLGM4013,blgm6119,blgm6127
149,BLGM4014,blgm6397,blgm6172
150,BLGM4015,blgm6304,blgm6325h
151,BLGM4017,blgm6389,blgm6102
152,BLGM4018,blgm6169,blgm6038d
153,BLGM4020,blgm6416,blgm6436
154,BLGM4021,blgm6423,blgm6319
155,BLGM4023,blgm6434,blgm6332
156,BLGM-4110-1,blgm6380,blgm6295
157,blgm4028xx,blgm6283,blgm6329
158,blgm4030xx,blgm6405,blgm6353
159,blgm4032xx,blgm6280,blgm6221
160,blgm4033xx,blgm6335,blgm6585
161,BLGM-4111,blgm6301,blgm6447
162,blgm4037xx,blgm6381,blgm6333
163,blgm4038xx,,
164,blgm4039xx,,
165,BLGM-4113,,
166,BLGM-4114,,
167,blgm4040xx,,
168,blgm4041xx,,
169,blgm4042xx,,
170,blgm4049xx,,
171,blgm4050xx,,
172,blgm4051xx,,
173,blgm4052xx,,
174,blgm4053xx,,
175,blgm4054xx,,
176,BLGM4116-1a,,
177,blgm4057xx,,
178,blgm4058xx,,
179,BLGM-4122,,
180,BLGM-4123,,
181,BLGM4124-4,,
182,blgm4061xx,,
183,BLGM-4127,,
184,BLGM4129,,
185,BLGM4130,,
186,BLGM-4131,,
187,BLGM-4133,,
188,BLGM4136,,
189,BLGM-4137,,
190,BLGM4140-1,,
191,BLGM4141,,
192,BLGM-4143,,
193,BLGM4146,,
194,BLGM-4149,,
195,BLGM-4151,,
196,BLGM4153,,
197,BLGM-4156-1,,
198,BLGM-4160,,
199,BLGM-4161,,
